IDH,IDL
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
02,30
00,41
02,50
00,81
02,00
02,01
00,80
02,30
02,55
02,15
02,16
04,20
04,22
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
00,47
02,00
00,41
02,01
02,30
00,81
03,C4
02,30
00,80
02,15
02,16
00,41
03,50
04,30
02,50
02,00
02,01
00,82
02,30
02,55
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
02,00
02,01
00,80
02,30
02,15
02,16
00,41
04,30
02,30
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
02,30
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
00,47
02,00
00,82
02,01
02,30
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
02,50
00,80
02,15
02,16
00,41
03,50
04,30
02,00
02,01
02,30
02,55
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
02,00
02,01
00,80
02,30
02,15
02,16
00,41
04,30
02,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,00
02,01
02,30
02,65
04,53
00,81
00,80
02,15
02,16
00,41
04,30
02,30
02,50
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
02,55
04,20
04,22
00,81
02,30
00,80
02,15
02,16
00,41
04,30
02,00
00,82
02,01
02,30
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
00,47
02,00
02,01
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
02,50
00,81
03,C4
02,00
02,01
00,80
02,30
02,15
02,16
02,55
00,41
03,50
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,91
03,40
04,54
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,00
02,01
02,30
00,41
00,81
02,30
00,80
02,15
02,16
02,50
00,41
04,30
02,00
00,82
02,01
02,30
00,91
02,55
04,20
04,22
00,80
00,73
02,11
02,15
04,17
04,55
00,41
02,30
00,81
00,80
02,15
02,16
00,41
02,00
02,01
02,30
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
04,23
04,FF
00,41
00,81
00,47
00,80
02,00
00,74
02,01
02,15
02,16
02,17
02,30
04,15
00,41
04,30
00,82
02,30
00,91
00,80
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
00,81
00,80
02,15
02,16
00,41
02,30
03,50
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
02,30
00,80
02,15
02,16
00,41
04,30
02,00
00,82
02,01
00,91
02,30
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
02,50
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
02,55
04,20
04,22
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
02,30
00,41
00,81
02,00
00,80
02,01
02,15
02,16
02,30
03,51
03,52
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
00,41
00,47
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
02,30
00,41
04,30
02,50
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
02,55
00,41
00,81
03,C4
02,30
00,80
02,15
02,16
00,41
03,50
04,30
00,82
02,00
02,01
00,91
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,30
00,41
02,50
00,81
02,00
00,80
02,01
02,15
02,16
02,30
02,55
04,20
04,22
00,41
04,30
00,82
02,30
00,91
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
00,47
02,00
02,01
02,30
00,41
00,81
00,80
02,30
00,74
02,15
02,16
02,17
04,15
02,50
00,41
04,30
00,82
02,00
00,91
02,01
02,30
02,55
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
03,50
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,00
02,01
02,15
02,16
02,30
00,41
04,30
00,82
02,30
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
02,50
04,17
02,00
00,41
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
00,80
02,30
02,15
02,16
00,41
04,30
00,82
00,47
00,91
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
02,50
00,80
00,74
02,15
02,16
02,17
04,15
02,00
02,01
02,30
02,55
00,41
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
01,0B
03,A9
00,80
02,00
02,01
02,15
02,16
02,30
03,C4
00,41
03,50
04,30
00,82
00,91
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
02,50
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,00
02,01
02,30
02,55
04,20
04,22
00,41
00,81
00,80
02,30
02,15
02,16
00,41
04,30
00,82
02,00
00,91
02,01
02,30
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,47
02,00
02,01
02,30
00,41
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
02,50
00,81
00,80
02,00
00,74
02,01
02,15
02,16
02,17
02,30
02,55
04,15
00,41
04,30
00,82
02,30
00,91
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
03,50
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
00,80
02,30
02,15
02,16
02,50
00,41
04,30
00,82
00,91
02,00
02,01
02,30
02,55
03,40
04,20
00,80
04,22
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
04,55
02,30
00,41
00,81
00,80
00,47
02,00
02,01
02,15
02,16
02,30
00,41
04,30
00,82
02,30
00,91
00,80
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
00,81
00,80
00,74
02,15
02,16
02,17
04,15
02,30
00,41
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
03,C4
00,80
02,30
02,15
02,16
00,41
01,0A
03,50
04,30
04,31
04,34
00,82
00,91
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
02,50
00,80
02,15
02,16
02,00
02,01
00,41
02,30
02,55
04,20
04,22
04,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,30
00,41
00,81
00,80
02,00
02,01
02,15
02,16
02,30
00,41
04,30
00,82
00,91
02,30
00,80
00,73
02,11
02,15
04,17
04,55
00,41
00,47
02,00
02,01
02,30
03,51
03,52
00,81
00,80
02,15
02,16
02,30
00,41
04,30
02,50
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
02,55
00,41
00,81
00,80
02,30
00,74
02,15
02,16
02,17
04,15
00,41
04,30
00,82
00,91
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
02,00
02,01
02,30
03,50
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
02,50
00,81
00,80
02,00
02,01
02,15
02,16
02,30
02,55
04,20
04,22
00,41
04,30
00,82
00,91
02,30
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,91
00,80
04,55
00,73
02,11
02,15
04,17
00,47
02,00
02,01
02,30
00,41
00,81
00,80
02,15
02,16
02,30
02,50
00,41
04,30
00,82
00,91
02,00
02,01
02,30
02,55
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
02,00
02,01
02,30
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
03,C4
00,80
02,15
02,00
02,01
02,16
02,30
00,41
03,50
04,30
00,82
00,91
02,30
00,80
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
00,41
02,30
04,30
00,82
00,91
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,00
02,01
02,30
00,41
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
00,91
00,47
02,00
02,01
02,30
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,30
00,81
02,50
00,80
02,15
02,16
00,41
02,00
02,01
02,30
02,55
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
00,74
02,00
02,01
02,15
02,16
02,17
02,30
04,15
00,41
04,30
00,82
00,91
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
03,50
04,30
02,50
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
02,55
04,20
04,22
00,41
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,82
00,91
03,40
02,00
02,01
02,30
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
02,65
04,53
00,81
00,80
02,15
02,16
00,41
04,30
00,47
02,00
02,01
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
04,55
02,30
00,41
02,50
00,81
00,80
02,15
02,00
02,01
02,16
02,30
02,55
00,41
04,30
00,82
00,91
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
00,41
00,81
03,C4
00,80
02,15
02,16
02,30
02,50
00,41
03,50
04,30
00,82
00,91
02,00
02,01
02,30
02,55
04,20
04,22
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,82
00,91
03,40
04,54
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,30
00,41
00,81
00,80
02,15
02,16
00,47
02,00
02,01
02,30
00,41
04,30
00,82
00,91
02,30
00,80
04,55
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,00
02,01
02,30
04,23
00,41
04,FF
00,81
00,80
00,74
02,15
02,16
02,17
02,30
04,15
00,41
04,30
00,82
00,91
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
02,50
00,81
00,80
02,15
02,16
00,41
02,00
02,01
02,30
02,55
03,50
04,20
04,22
04,30
00,82
00,91
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
04,30
00,82
00,91
03,40
02,30
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
00,47
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
02,50
00,91
00,82
00,80
04,55
00,73
02,11
02,15
04,17
02,00
02,01
02,30
02,55
00,41
03,51
03,52
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,91
00,82
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,00
02,01
02,30
00,91
00,82
00,80
00,73
02,11
02,15
04,17
02,30
00,41
02,50
00,81
03,C4
00,80
02,15
02,16
02,00
02,01
02,30
02,55
04,20
04,22
00,41
03,50
04,30
00,91
00,82
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,91
00,82
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,47
02,00
00,41
02,01
02,30
00,81
00,80
02,15
02,16
02,30
02,50
00,41
04,30
00,91
00,82
02,00
02,01
02,30
02,55
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
00,91
00,82
00,80
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
00,74
02,15
02,16
02,00
02,01
02,17
02,30
04,15
00,41
04,30
00,91
00,82
02,30
00,80
00,73
02,11
02,15
04,17
02,50
00,41
02,00
02,01
02,30
02,55
04,20
04,22
00,81
00,80
02,15
02,16
00,41
03,50
04,30
02,30
00,91
00,82
00,80
00,73
02,11
02,15
04,17
02,00
00,41
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,91
00,82
03,40
00,47
02,00
02,01
02,30
00,80
00,73
02,11
02,15
02,17
04,15
04,17
00,41
02,30
02,50
00,81
00,80
02,15
02,16
00,41
04,30
02,00
02,01
02,30
02,55
00,91
00,82
00,80
04,55
00,73
02,11
02,15
04,17
02,30
00,41
00,81
00,80
02,15
02,16
02,00
02,01
02,30
00,41
04,30
00,91
00,82
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,30
02,50
00,91
00,82
00,80
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
02,55
04,20
04,22
00,81
01,0B
00,80
03,A9
02,15
02,16
03,C4
02,30
00,41
03,50
04,30
00,91
00,82
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,41
04,30
00,47
02,00
02,01
02,30
00,91
00,82
03,40
00,80
00,73
02,11
02,15
02,17
04,15
04,17
02,30
00,41
02,50
00,81
00,80
02,15
02,16
02,00
02,01
02,30
02,55
00,41
04,30
00,91
00,82
02,30
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,91
00,82
00,80
00,73
02,11
02,15
04,17
02,00
00,41
02,01
02,30
00,81
00,80
00,74
02,15
02,16
02,17
02,30
04,15
02,50
00,41
04,30
00,91
00,82
02,00
02,01
02,30
02,55
00,80
04,20
00,73
02,11
02,15
04,17
04,22
00,41
02,30
00,81
00,80
02,15
02,16
00,41
03,50
04,30
02,00
02,01
02,30
00,91
00,82
00,80
00,73
02,11
02,15
04,17
00,41
02,30
00,81
00,80
02,15
02,16
00,47
02,00
02,01
02,30
00,41
04,30
00,91
00,82
03,40
02,30
00,80
00,73
02,11
02,15
02,17
02,50
04,15
04,17
00,41
02,00
02,01
02,30
02,55
00,81
00,80
02,15
02,16
00,41
04,30
02,30
00,91
00,82
00,80
04,55
00,73
02,11
02,15
04,17
00,41
02,00
02,01
02,30
00,81
00,80
02,15
02,16
02,30
00,41
04,30
00,91
00,82
02,00
02,01
02,30
00,80
00,73
02,11
02,15
04,17
00,41
02,30
02,50
00,81
00,80
00,74
02,15
02,16
02,17
04,15
00,41
04,30
02,00
02,01
02,30
02,55
04,20
